time,RUC,kappa,sliding_frame,time_local,Total_Number_Incidents
2019-01-04 17:15:00,0.0590797631571687,0.5,3,,0.0
2019-01-04 17:20:00,0.0708161094115765,0.5,3,,0.0
2019-01-04 17:25:00,0.0798171529038535,0.5,3,,0.0
2019-01-04 17:30:00,0.0668182979812741,0.5,3,,0.0
2019-01-04 17:35:00,0.0259566046871333,0.5,3,,0.0
2019-01-04 17:40:00,0.0406322043475826,0.5,3,,0.0
2019-01-04 17:45:00,0.080109677469836,0.5,3,,0.0
2019-01-04 17:50:00,0.1187592485376773,0.5,3,,0.0
2019-01-04 17:55:00,0.1106461114704331,0.5,3,,0.0
2019-01-04 18:00:00,0.1128499420449703,0.5,3,,0.0
2019-01-04 18:05:00,0.1198676968432913,0.5,3,,0.0
2019-01-04 18:10:00,0.1301381710928389,0.5,3,2019-01-04 18:10:00,1.0
2019-01-04 18:15:00,0.1256550713066353,0.5,3,,0.0
2019-01-04 18:20:00,0.1157180566283017,0.5,3,,0.0
2019-01-04 18:25:00,0.0729285150984156,0.5,3,,0.0
2019-01-04 18:30:00,0.0357303111878287,0.5,3,,0.0
2019-01-04 19:40:00,0.0017151535086674,0.5,3,,0.0
2019-01-04 19:45:00,0.0017151535086674,0.5,3,,0.0
2019-01-04 19:50:00,0.0017151535086674,0.5,3,,0.0
2019-01-05 06:00:00,0.0096462673135141,0.5,3,,0.0
2019-01-05 06:05:00,0.0146659133276096,0.5,3,,0.0
2019-01-05 06:10:00,0.0161866333555319,0.5,3,,0.0
2019-01-05 06:15:00,0.0498949532041311,0.5,3,,0.0
2019-01-05 06:20:00,0.0514686670209384,0.5,3,,0.0
2019-01-05 06:25:00,0.0491722023515045,0.5,3,,0.0
2019-01-05 06:30:00,0.031927918596779,0.5,3,,0.0
2019-01-05 06:35:00,0.0183069754463338,0.5,3,,0.0
2019-01-05 06:40:00,0.0055892470075501,0.5,3,,0.0
2019-01-05 06:45:00,0.0037911242412861,0.5,3,,0.0
2019-01-05 06:50:00,0.0011724402473143,0.5,3,,0.0
2019-01-05 19:00:00,0.0009377520965725,0.5,3,,0.0
2019-01-05 19:05:00,0.0131067117979324,0.5,3,,0.0
2019-01-05 19:10:00,0.0136190338970496,0.5,3,,0.0
2019-01-05 19:15:00,0.0126812818004771,0.5,3,,0.0
2019-01-05 19:20:00,0.0005123220991172,0.5,3,,0.0
2019-01-05 20:40:00,0.0011159293354674,0.5,3,,0.0
2019-01-05 20:45:00,0.0055490221675073,0.5,3,,0.0
2019-01-05 20:50:00,0.0055490221675073,0.5,3,,0.0
2019-01-05 20:55:00,0.0044330928320398,0.5,3,,0.0
2019-01-06 06:00:00,0.0015316875279426,0.5,3,,0.0
2019-01-06 06:05:00,0.0007291393982523,0.5,3,,0.0
2019-01-06 06:10:00,0.0032672011237898,0.5,3,,0.0
2019-01-06 06:15:00,0.0169239813990389,0.5,3,,0.0
2019-01-06 06:20:00,0.03144640167098,0.5,3,,0.0
2019-01-06 06:25:00,0.0444134438940841,0.5,3,,0.0
2019-01-06 06:30:00,0.0486378726951627,0.5,3,,0.0
2019-01-06 06:35:00,0.044566760408105,0.5,3,,0.0
2019-01-06 06:40:00,0.036805666661874,0.5,3,,0.0
2019-01-06 06:45:00,0.0196535969837987,0.5,3,,0.0
2019-01-06 06:50:00,0.008473149600663,0.5,3,,0.0
2019-01-06 07:25:00,0.0020332365275693,0.5,3,,0.0
2019-01-06 07:30:00,0.0020332365275693,0.5,3,,0.0
2019-01-06 07:35:00,0.0020332365275693,0.5,3,,0.0
2019-01-07 16:15:00,0.0068471817933434,0.5,3,,0.0
2019-01-07 16:20:00,0.0158400749706065,0.5,3,,0.0
2019-01-07 16:25:00,0.029090015839684,0.5,3,,0.0
2019-01-07 16:30:00,0.033090701436233,0.5,3,,0.0
2019-01-07 16:35:00,0.0263551053597517,0.5,3,,0.0
2019-01-07 16:40:00,0.0141201737136893,0.5,3,,0.0
2019-01-07 16:45:00,0.0074753100056516,0.5,3,,0.0
2019-01-07 16:50:00,0.0083380892066725,0.5,3,,0.0
2019-01-07 16:55:00,0.0128413479555777,0.5,3,,0.0
2019-01-07 17:00:00,0.0177560833504765,0.5,3,,0.0
2019-01-07 17:05:00,0.0476843778916942,0.5,3,,0.0
2019-01-07 17:10:00,0.0742810240240154,0.5,3,,0.0
2019-01-07 17:15:00,0.0849598627928805,0.5,3,,0.0
2019-01-07 17:20:00,0.0603910134920829,0.5,3,,0.0
2019-01-07 17:25:00,0.0282760993878413,0.5,3,,0.0
2019-01-07 17:30:00,0.0142139552667478,0.5,3,,0.0
2019-01-07 17:35:00,0.0057344337245249,0.5,3,,0.0
2019-01-07 17:40:00,0.0057344337245249,0.5,3,,0.0
2019-01-07 17:50:00,0.0274918336172119,0.5,3,,0.0
2019-01-07 17:55:00,0.051899870378216,0.5,3,,0.0
2019-01-07 18:00:00,0.0833701830591396,0.5,3,,0.0
2019-01-07 18:05:00,0.0843172022711226,0.5,3,,0.0
2019-01-07 18:10:00,0.0599091655101184,0.5,3,,0.0
2019-01-07 18:15:00,0.0193774647282112,0.5,3,,0.0
2019-01-07 18:50:00,0.0004709311229579,0.5,3,,0.0
2019-01-07 18:55:00,0.0041706967483103,0.5,3,,0.0
2019-01-07 19:00:00,0.012763761466597,0.5,3,,0.0
2019-01-07 19:05:00,0.0199515134279136,0.5,3,,0.0
2019-01-07 19:10:00,0.0162517478025612,0.5,3,,0.0
2019-01-07 19:15:00,0.0076586830842745,0.5,3,,0.0
2019-01-07 19:30:00,0.0029754423350584,0.5,3,,0.0
2019-01-07 19:35:00,0.0160640145515075,0.5,3,,0.0
2019-01-07 19:40:00,0.0269649305278087,0.5,3,,0.0
2019-01-07 19:45:00,0.0239894881927503,0.5,3,,0.0
2019-01-07 19:50:00,0.004632351088613,0.5,3,,0.0
2019-01-07 20:55:00,0.0056073127729506,0.5,3,,0.0
2019-01-08 07:50:00,0.017239238853163,0.5,3,,0.0
2019-01-08 07:55:00,0.0602576015543145,0.5,3,,0.0
2019-01-08 08:00:00,0.0941382361933544,0.5,3,,0.0
2019-01-08 08:05:00,0.0789977692307294,0.5,3,,0.0
2019-01-08 08:10:00,0.0359794065295778,0.5,3,,0.0
